Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
309469,Oberoi Dhaba,3.9,Good,"6,694",280,3.9,"6,414",₹400 for two,₹200 for one,"Mehrauli, New Delhi","Opposite Mehrauli Police Station, Mehrauli, New Delhi","North Indian, Chinese",Delhi NCR,28.52113,77.18017
20126757,Bikanervala,3.4,Average,"1,304",16,3.9,"1,288",₹500 for two,₹200 for one,"Vasant Kunj, New Delhi","Food Stall 08, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Mithai, North Indian, South Indian, Street Food, Fast Food, Juices, Beverages",Delhi NCR,28.53151,77.15021
19030978,RollsKing,4.1,Very Good,"5,595",0,4.1,"5,595",₹350 for two,₹150 for one,"Vasant Kunj, New Delhi","Shop 34, Ground Floor, Vasant Acade Shopping Complex, Sector B, Pocket 7, South West, Vasant Kunj, New Delhi","Rolls, Fast Food, North Indian, Beverages",Delhi NCR,28.53151,77.15021
7060,Karnataka Food Centre,4.4,Very Good,12.5K,"1,949",4.4,10.6K,₹500 for two,₹200 for one,"R K Puram, New Delhi","Delhi Karnataka Sangha Building, Rao Tula Ram Marg, Sector 12, R K Puram, New Delhi","South Indian, Beverages",Delhi NCR,28.56737,77.18269
18780862,Burger Singh - Big Punjabi Burgers,3.9,Good,16.3K,282,4.1,16.1K,₹400 for two,₹200 for one,"Vasant Kunj, New Delhi","29, Ground Floor, Vasant Arcade, Vasant Kunj, New Delhi","Burger, Fast Food, Momos, Beverages",Delhi NCR,28.53151,77.15021
18892548,Khan Chacha,3.5,Good,"2,392",87,4.1,"2,305",₹500 for two,₹200 for one,"DLF Promenade Mall, Vasant Kunj, New Delhi","Plot 3, 2nd Floor, DLF Promenade, Phase 2, Vasant Kunj, New Delhi","Rolls, Kebab, North Indian, Mughlai, Biryani",Delhi NCR,28.53711,77.1446
300721,Barbeque Nation,4.2,Very Good,"4,466","1,681",3.9,"2,785","₹2,400 for two","₹1,000 for one","Vasant Kunj, New Delhi","Plot 11, Pyramid Building, Pocket 7, Local Shopping Center, Sector C, Vasant Kunj, New Delhi","BBQ, North Indian, Biryani, Kebab, Continental, Chinese, Desserts, Beverages",Delhi NCR,28.53151,77.15021
1777,Rajinder Da Dhaba,4.4,Very Good,36.4K,"5,968",4.3,30.5K,₹600 for two,₹300 for one,"Safdarjung, New Delhi","AB 14, Safdarjung Enclave Market, Safdarjung, New Delhi","North Indian, Chinese, Mughlai",Delhi NCR,28.56583,77.19884
20114411,Da Pizza Corner,3.7,Good,397,0,3.7,397,₹300 for two,₹300 for one,"Vasant Kunj, New Delhi","81/9, Shop 2, Shani Bazar Road, Kishangarh, Vasant Kunj, New Delhi","Burger, Pizza, Fast Food",Delhi NCR,28.53151,77.15021
19975671,La Pino'z Pizza,3.8,Good,"4,332",155,3.7,"4,177",₹600 for two,₹300 for one,"Munirka, New Delhi","250 B/1, Nelson Mandela Marg, Munirka, New Delhi","Pizza, Pasta, Italian, Fast Food",Delhi NCR,28.55652,77.16379
18642593,Currysum,4.2,Very Good,"3,992",0,4.2,"3,992",₹600 for two,₹300 for one,"Vasant Kunj, New Delhi","C-5, Shop 2, Masoodpur, Near Gupta Hardware, Vasant Kunj, New Delhi","North Indian, Mughlai, Chinese, Kebab",Delhi NCR,28.53151,77.15021
20515371,Meals @99,3.1,Average,766,0,3.1,766,₹400 for two,₹300 for one,"Vasant Kunj, New Delhi","K-95-A-12, Vill Masoodpur, Vasant Kunj, New Delhi","Fast Food, Street Food, North Indian, Chinese, Burger, Momos, Seafood, South Indian",Delhi NCR,28.53151,77.15021
18582431,Biryani By Kilo,4.1,Very Good,17.9K,0,4.1,17.9K,₹600 for two,₹300 for one,"Vasant Kunj, New Delhi","117, Vasant Kunj, New Delhi","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",Delhi NCR,28.53151,77.15021
9177,Sagar Ratna,3.7,Good,"3,968",195,4.1,"3,773","₹1,100 for two",₹300 for one,"Vasant Square Mall, Vasant Kunj, New Delhi","Ground Floor, Vasant Square Mall, Vasant Kunj, New Delhi","North Indian, South Indian, Beverages",Delhi NCR,28.52489,77.15655
19231674,WOW! Momo,3.6,Good,"2,532",66,4.1,"2,466",₹400 for two,₹300 for one,"Vasant Kunj, New Delhi","9, Plot 11, L.S.C. Market, Sector B, Pocket 7, Vasant Kunj, New Delhi","Momos, Fast Food, Tibetan, Sichuan, Beverages",Delhi NCR,28.53151,77.15021
19345762,NIC Ice Creams,4.6,Excellent,"5,336",0,4.6,"5,336",₹300 for two,₹300 for one,"Vasant Kunj, New Delhi","C17, Mossodpur Village, Vasant Kunj, New Delhi","Ice Cream, Desserts",Delhi NCR,28.53151,77.15021
18989488,The Pizza Pies,3.9,Good,"5,210",0,3.9,"5,210",₹450 for two,₹300 for one,"Chhatarpur, New Delhi","Shop 1, B 28, Street 3, Near Nanda Hospital, Chattarpur Enclave, Mehrauli, Chhatarpur, New Delhi","Pizza, Fast Food",Delhi NCR,28.5045,77.1736
18889779,UBQ by Barbeque Nation,3.7,Good,"4,636",0,3.7,"4,636","₹1,400 for two",₹300 for one,"Vasant Kunj, New Delhi","Plot 11, Pyramid Building, Pocket 7, Local Shopping Center, Sector C, Vasant Kunj, New Delhi","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",Delhi NCR,28.53151,77.15021
19604765,Ambersar By Enoki,4.2,Very Good,"3,957",0,4.2,"3,957","₹1,000 for two",₹300 for one,"Munirka, New Delhi","253 B/2, 2nd Floor, Rama Market, Opposite MCD Underground Parking, Munirka, New Delhi","North Indian, Mughlai, Biryani",Delhi NCR,28.55652,77.16379
