country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,source_url,etl_timestamp
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-04,-29,4,-42,-22,-27,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-05,-29,4,-43,-22,-26,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-06,-30,2,-44,-22,-25,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-07,-31,4,-41,-15,-20,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-08,-42,-6,-52,-19,-17,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-09,-28,5,-37,-24,-28,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-10,-25,9,-36,-20,-27,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-11,-26,6,-35,-20,-26,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-12,-28,5,-40,-23,-25,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-13,-28,4,-38,-19,-24,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-14,-32,-4,-49,-26,-24,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-15,-58,-36,-52,-37,-51,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-16,-30,3,-37,-25,-28,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-17,-26,9,-38,-20,-26,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-18,-27,5,-38,-19,-23,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-19,-26,6,-38,-20,-23,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-20,-29,0,-44,-23,-34,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-21,-33,-7,-43,-18,-23,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-22,-46,-20,-48,-20,-38,2,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-23,-33,-9,-40,-25,-28,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-24,-30,-1,-38,-21,-25,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-25,-28,1,-38,-18,-23,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-26,-28,3,-39,-21,-22,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-27,-27,2,-39,-18,-20,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-28,-29,2,-42,-18,-16,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
